index_ecoreg,stand_bins,ENFW,DBFM,Shrubs,Herb_Sparse,Wetlands,Barren
ALASKA BOREAL INTERIOR,pre-fire,0.6243551019873571,0.08511814051141242,0.1466262469015593,0.07611898969672487,0.06580660194464807,0.0019749189582982133
ALASKA BOREAL INTERIOR,-01,0.5545963138248661,0.0730213260544036,0.1684145800577347,0.11043629240808496,0.09089760453536104,0.002633883119549579
ALASKA BOREAL INTERIOR,00,0.3885940661111925,0.056893060135317204,0.16379472445877308,0.28754484506752026,0.09681514898875006,0.006358155238446932
ALASKA BOREAL INTERIOR,01,0.2900645767191161,0.04795552797577747,0.17030433247083532,0.38033950053452265,0.10487966981065099,0.006456392489097439
ALASKA BOREAL INTERIOR,02-05,0.23263273982188923,0.04056398575643436,0.2313208135961479,0.3625964917480357,0.1287842193542057,0.004101749723287098
ALASKA BOREAL INTERIOR,06-09,0.20082903980241715,0.03877825711870704,0.31871050365184517,0.2879501852061484,0.15058547403152547,0.0031465401893567744
ALASKA BOREAL INTERIOR,10-19,0.22856219223369834,0.057292486542874436,0.37845220137897667,0.18125849338952124,0.152222192230601,0.0022124342243283242
ALASKA BOREAL INTERIOR,20-29,0.28399728161438503,0.09269497826457204,0.3924010395039531,0.11039130886748443,0.11874682571591744,0.001768566033687916
ALASKA BOREAL INTERIOR,30-39,0.3425344495793313,0.13130950913013548,0.3528250442002595,0.08510568224304846,0.08606877350033747,0.002156541346887811
ALASKA BOREAL INTERIOR,40-49,0.38333092393912127,0.149588699376818,0.32322879804201116,0.0680933934704116,0.0733560444377951,0.002402140733842893
ALASKA BOREAL INTERIOR,50-59,0.4094631828771681,0.1535377886211635,0.30157090032018313,0.06575277382166769,0.06699568769340226,0.002679666666415352
ALASKA BOREAL INTERIOR,>60,0.609813698979137,0.10728004576231286,0.16842734236749024,0.03564477121836584,0.07492663406958078,0.00390750760311335
BOREAL CORDILLERA,pre-fire,0.755161093362284,0.030876363094679376,0.10267954805345086,0.07003483643030084,0.03603600727609165,0.005212151783193282
BOREAL CORDILLERA,-01,0.7176041519029964,0.02588346264532897,0.10872205015948684,0.09568786166157132,0.042417701351934116,0.00968477227868229
BOREAL CORDILLERA,00,0.42261238200351264,0.017624937779004823,0.08439260675023198,0.4058117403520314,0.03778277804364413,0.03177555507157504
BOREAL CORDILLERA,01,0.2928866496870342,0.014637513235249304,0.08488960939334524,0.5252255803301754,0.041319074386030184,0.041041572968165685
BOREAL CORDILLERA,02-05,0.25500286118799953,0.014768267805605128,0.13876662320941782,0.4917663949542118,0.06422184082244961,0.035474012020316095
BOREAL CORDILLERA,06-09,0.24913907817294204,0.014599019332520138,0.20455048107854013,0.4105114055100871,0.09397265919135506,0.027227356714555558
BOREAL CORDILLERA,10-19,0.3342225372551671,0.03381448129195814,0.2279697957560819,0.285304746353388,0.1033752444743324,0.015313194869072488
BOREAL CORDILLERA,20-29,0.47227005776239056,0.07217282726970604,0.21350169769218164,0.15262256174275016,0.07782310331850363,0.011609752214467996
BOREAL CORDILLERA,30-39,0.557654573811524,0.08020400275101029,0.18228807677559342,0.11579041080387266,0.05388543838653263,0.010177497471467078
BOREAL CORDILLERA,40-49,0.5888221239379573,0.08291643871861959,0.1695944511302004,0.09991036972928462,0.0487743829528211,0.009982233531116946
BOREAL CORDILLERA,50-59,0.6199539426847913,0.07546853463416729,0.15391652227622632,0.09481184704893922,0.04591918300570452,0.009929970350171291
BOREAL CORDILLERA,>60,0.6699215144316372,0.05488337124304001,0.14250368700788474,0.07868255401822154,0.04651591962205118,0.007492953677165327
BOREAL PLAIN,pre-fire,0.6316555134864527,0.19976946867242923,0.057093733086545084,0.04105077969933968,0.06974514833198872,0.0006853567232446114
BOREAL PLAIN,-01,0.7155731414455494,0.10271173879738374,0.052737330358900034,0.06603350130964405,0.061773754631957334,0.0011705334565654307
BOREAL PLAIN,00,0.3653084787744493,0.07459023577877115,0.06278278556006696,0.42409120075206674,0.06780674582880944,0.005420553305836415
BOREAL PLAIN,01,0.2498205250711758,0.06592888106367606,0.07615270929077048,0.5272033848585663,0.07525360686467704,0.0056408928511343555
BOREAL PLAIN,02-05,0.26874208798650945,0.06686952265836653,0.15351435319809245,0.39937894675201213,0.10824938398839938,0.0032457054166200646
BOREAL PLAIN,06-09,0.315919296152266,0.07766592040100721,0.18913812166079,0.2814420288900914,0.13429120864079924,0.001543424255046201
BOREAL PLAIN,10-19,0.38934617642378855,0.12985974944788517,0.17164362493826554,0.18410278267070432,0.12405431060553063,0.0009933559138258032
BOREAL PLAIN,20-29,0.45538094365295634,0.22355907167627076,0.12741983796094908,0.11219546213700385,0.08004417863976152,0.0014005059330584294
BOREAL PLAIN,30-39,0.4175108682899612,0.31194426161257177,0.10247973810571981,0.09720673061060402,0.06871579797194456,0.00214260340919862
