s,age,PFT,relative_mean
Control,24,Non-tree V.,0.5403965792532255
Control,24,Temperate broadleaf,0.005165780356517424
Control,24,Conifers (other),0.1748721735033479
Control,24,Pioneering broadleaf,0.09174214080063499
Control,24,Needleleaf evergreen,0.1878233260862745
Control,25,Non-tree V.,0.5256729260779299
Control,25,Temperate broadleaf,0.0055040557726199115
Control,25,Conifers (other),0.17857156423979287
Control,25,Pioneering broadleaf,0.09491899396451962
Control,25,Needleleaf evergreen,0.19533245994513818
Control,26,Non-tree V.,0.5113315803267426
Control,26,Temperate broadleaf,0.005836166402659395
Control,26,Conifers (other),0.18205751331646003
Control,26,Pioneering broadleaf,0.09809162862492941
Control,26,Needleleaf evergreen,0.20268311132920866
Control,27,Non-tree V.,0.49806909781622377
Control,27,Temperate broadleaf,0.0061718149472992445
Control,27,Conifers (other),0.18386429705552487
Control,27,Pioneering broadleaf,0.10122320070464327
Control,27,Needleleaf evergreen,0.2106715894763084
Control,28,Non-tree V.,0.48447099390712334
Control,28,Temperate broadleaf,0.006481153511024217
Control,28,Conifers (other),0.18693230736658742
Control,28,Pioneering broadleaf,0.10453515621356099
Control,28,Needleleaf evergreen,0.21758038900170384
Control,29,Non-tree V.,0.4715046138893017
Control,29,Temperate broadleaf,0.006807641378008753
Control,29,Conifers (other),0.18972107361066548
Control,29,Pioneering broadleaf,0.10794068487596052
Control,29,Needleleaf evergreen,0.2240259862460644
Control,30,Non-tree V.,0.4589476363559441
Control,30,Temperate broadleaf,0.00703463674087813
Control,30,Conifers (other),0.19239633506631149
Control,30,Pioneering broadleaf,0.11136263732922723
Control,30,Needleleaf evergreen,0.23025875450763986
Control,31,Non-tree V.,0.4467705547970855
Control,31,Temperate broadleaf,0.007355106714396734
Control,31,Conifers (other),0.194874348874264
Control,31,Pioneering broadleaf,0.11486284920449778
Control,31,Needleleaf evergreen,0.23613714040975617
Control,32,Non-tree V.,0.4353395627812173
Control,32,Temperate broadleaf,0.007598891758139724
Control,32,Conifers (other),0.19629361681457466
Control,32,Pioneering broadleaf,0.11831580734651546
Control,32,Needleleaf evergreen,0.24245212129955293
Control,33,Non-tree V.,0.42357740857775433
Control,33,Temperate broadleaf,0.007837334414941095
Control,33,Conifers (other),0.19851432189584237
Control,33,Pioneering broadleaf,0.12183832035025806
Control,33,Needleleaf evergreen,0.2482326147612032
Control,34,Non-tree V.,0.4121161018590258
Control,34,Temperate broadleaf,0.00809768172277133
Control,34,Conifers (other),0.20056412019767897
Control,34,Pioneering broadleaf,0.1254715086451243
Control,34,Needleleaf evergreen,0.2537505875753993
Control,35,Non-tree V.,0.4007259957376038
Control,35,Temperate broadleaf,0.008143817804046265
Control,35,Conifers (other),0.20274116964578756
Control,35,Pioneering broadleaf,0.12925415157829456
Control,35,Needleleaf evergreen,0.2591348652342673
Control,36,Non-tree V.,0.3894439929299548
Control,36,Temperate broadleaf,0.008377694165568763
Control,36,Conifers (other),0.20481618831103784
Control,36,Pioneering broadleaf,0.13298627436566798
Control,36,Needleleaf evergreen,0.2643758502277709
Control,37,Non-tree V.,0.37946965377065356
Control,37,Temperate broadleaf,0.008529799241565467
Control,37,Conifers (other),0.2059564636364847
Control,37,Pioneering broadleaf,0.13677337960138752
Control,37,Needleleaf evergreen,0.26927070374990897
Control,38,Non-tree V.,0.3687319528926286
Control,38,Temperate broadleaf,0.008637482352500928
Control,38,Conifers (other),0.20784301430064034
Control,38,Pioneering broadleaf,0.14062134541617488
Control,38,Needleleaf evergreen,0.2741662050380538
Control,39,Non-tree V.,0.35832799947258887
Control,39,Temperate broadleaf,0.008775779231113806
Control,39,Conifers (other),0.20962077823548547
Control,39,Pioneering broadleaf,0.1444200224348202
Control,39,Needleleaf evergreen,0.27885542062599156
Control,40,Non-tree V.,0.34826945817004984
