true_labels,s,m,share_mean,share_sd,class
0,Control,1,0.7086408961408962,0.004033638296944438,Conifer recovery
0,Control,2,0.8048594923594924,0.005747788345879702,Conifer recovery
0,Control,3,0.7195755633255633,0.03327707633063912,Conifer recovery
0,Control,4,0.9126521626521626,0.003193855580454363,Conifer recovery
0,Control,5,0.8602612665112666,0.003983151649634535,Conifer recovery
0,Control,6,0.9327246827246828,0.002951697237565356,Conifer recovery
0,SSP1-RCP2.6,1,0.833090371473176,0.003167456837181889,Conifer recovery
0,SSP1-RCP2.6,2,0.7746451206021319,0.005241623076097738,Conifer recovery
0,SSP1-RCP2.6,3,0.8370914880638525,0.001157885600575035,Conifer recovery
0,SSP1-RCP2.6,4,0.9484507304364008,0.002613436379527256,Conifer recovery
0,SSP1-RCP2.6,5,0.8512246311632187,0.005467762149797916,Conifer recovery
0,SSP1-RCP2.6,6,0.948347342410802,0.0029726720376483736,Conifer recovery
0,SSP5-RCP8.5,1,0.8728765787589317,0.004222570317857118,Conifer recovery
0,SSP5-RCP8.5,2,0.6153541447659094,0.006871389936564947,Conifer recovery
0,SSP5-RCP8.5,3,0.8536953242835595,0,Conifer recovery
0,SSP5-RCP8.5,4,0.9638466109054344,0.0035761308671237355,Conifer recovery
0,SSP5-RCP8.5,5,0.7254140195316666,0.011873152467844128,Conifer recovery
0,SSP5-RCP8.5,6,0.9638161402867286,0.0031037890506855474,Conifer recovery
1,Control,1,0.6674711718959506,0.0071434325965333825,Deciduous transient
1,Control,2,0.6297360456652492,0.006789510520327232,Deciduous transient
1,Control,3,0.7154988570917774,5.082365690312047e-4,Deciduous transient
1,Control,4,0.829483201164617,0.006517431108602884,Deciduous transient
1,Control,5,0.76007866273353,0.00795588536377502,Deciduous transient
1,Control,6,0.8631447215518012,0.006358011537488359,Deciduous transient
1,SSP1-RCP2.6,1,0.8036507017398737,0.003350252027241663,Deciduous transient
1,SSP1-RCP2.6,2,0.8366742952730214,0.004645829410904282,Deciduous transient
1,SSP1-RCP2.6,3,0.6598468764073859,0.003141417899164775,Deciduous transient
1,SSP1-RCP2.6,4,0.9144309335392138,0.0026858212581172226,Deciduous transient
1,SSP1-RCP2.6,5,0.8874275052619002,0.004265994246788068,Deciduous transient
1,SSP1-RCP2.6,6,0.9222709350097885,0.0038343043572945917,Deciduous transient
1,SSP5-RCP8.5,1,0.5936046977713645,0.005041275542427435,Deciduous transient
1,SSP5-RCP8.5,2,0.8720137886804553,0.004320807767882446,Deciduous transient
1,SSP5-RCP8.5,3,0.6051587301587301,0,Deciduous transient
1,SSP5-RCP8.5,4,0.9154641654641654,0.0038219946851657674,Deciduous transient
1,SSP5-RCP8.5,5,0.9056537598204265,0.004009781667825593,Deciduous transient
1,SSP5-RCP8.5,6,0.9569404361071028,0.0018474072553323483,Deciduous transient
