s,age,mean_diff
Control,0,0
Control,1,0
Control,2,0.08102117802462153
Control,3,0.09895956945867447
Control,4,0.1146623701072244
Control,5,0.13318081130947304
Control,6,0.14632196595587427
Control,7,0.16298220357975035
Control,8,0.16960739259223856
Control,9,0.17464325102208078
Control,10,0.17794754883128694
Control,11,0.18018055706590017
Control,12,0.18698367700163301
Control,13,0.18984581653757884
Control,14,0.19238258313719644
Control,15,0.19629764046870327
Control,16,0.1997796791907519
Control,17,0.20792673824404284
Control,18,0.21207397081482957
Control,19,0.21838679232092442
Control,20,0.22565738042057454
Control,21,0.2333186104733638
Control,22,0.24523399053132305
Control,23,0.2536435658782955
Control,24,0.2618788439477272
Control,25,0.2708460600444184
Control,26,0.2800149902193125
Control,27,0.2930383199682157
Control,28,0.30280821656097767
Control,29,0.3127763327380374
Control,30,0.3217034415133936
Control,31,0.33087352029238554
Control,32,0.3423862953300375
Control,33,0.35114093225722687
Control,34,0.35935560063770083
Control,35,0.36789393846991547
Control,36,0.37605833091393975
Control,37,0.38744892623426813
Control,38,0.3963877785735302
Control,39,0.40435817796809653
Control,40,0.4137092345950375
Control,41,0.42258507060041567
Control,42,0.43344803703860973
Control,43,0.4412273518138353
Control,44,0.44885597182212794
Control,45,0.45672593351304547
Control,46,0.46432625611392775
Control,47,0.4742267568691154
Control,48,0.4817630555078241
Control,49,0.4887803987807096
Control,50,0.4956375299493506
Control,51,0.5032131112217193
Control,52,0.514076499068178
Control,53,0.5209895351581052
Control,54,0.5290971302272127
Control,55,0.5376845983435934
Control,56,0.5458017087256734
Control,57,0.5562134182127062
Control,58,0.5642225076178854
Control,59,0.5717112551487451
Control,60,0.5801076058355082
Control,61,0.5887461052251939
Control,62,0.6001212578742108
Control,63,0.6092887947337313
Control,64,0.6182508242139415
Control,65,0.6274790404348112
Control,66,0.636086268832462
Control,67,0.6470215539476886
Control,68,0.6558619403367486
Control,69,0.6641776557821358
Control,70,0.6720097999384207
Control,71,0.6798964104783013
Control,72,0.6924467167109998
Control,73,0.7022860361291222
Control,74,0.7112604479047414
Control,75,0.7213815527575019
Control,76,0.7303285059800192
Control,77,0.7429978392608739
Control,78,0.7525219837846919
Control,79,0.7620573509845591
Control,80,0.7717055708812094
Control,81,0.7811815329410253
Control,82,0.7945033650505872
Control,83,0.8039910358135594
Control,84,0.8132631562825017
Control,85,0.8226665595066427
Control,86,0.8307141897470358
Control,87,0.840956633709459
