tas_smoothed,class,length_transient,Lon,Lat,PID,s,length_transient_trans
279.3662109375,2,3,-162.75,62.75,18,SSP5-RCP8.5,0.23856062735983122
278.4380828857422,0,0,-160.25,63.25,17,SSP5-RCP8.5,0
277.36827087402344,1,13,-159.25,64.25,17,SSP5-RCP8.5,0.5569716761534184
279.7449523925781,0,0,-158.75,60.75,19,SSP5-RCP8.5,0
276.7045593261719,1,24,-158.75,65.75,19,SSP5-RCP8.5,0.690105620855803
281.77240295410155,2,12,-158.25,56.75,21,SSP5-RCP8.5,0.5395906230238124
281.5598999023438,2,0,-158.25,56.75,23,SSP5-RCP8.5,0
276.9611572265625,0,0,-158.25,65.25,24,SSP5-RCP8.5,0
277.58372497558594,0,0,-157.75,65.25,21,SSP5-RCP8.5,0
277.1020904541016,0,0,-157.75,65.75,19,SSP5-RCP8.5,0
277.4907958984375,0,0,-157.25,65.75,19,SSP5-RCP8.5,0
278.1982788085937,0,0,-156.75,64.25,23,SSP5-RCP8.5,0
275.5397033691406,0,0,-156.75,66.25,23,SSP5-RCP8.5,0
275.9859191894531,2,0,-156.75,66.75,24,SSP5-RCP8.5,0
279.54734497070314,1,27,-156.25,62.75,17,SSP5-RCP8.5,0.7156818820794937
278.1737030029297,0,0,-156.25,63.25,19,SSP5-RCP8.5,0
279.7819885253906,2,0,-155.75,62.25,17,SSP5-RCP8.5,0
279.1425323486328,0,0,-155.75,63.25,16,SSP5-RCP8.5,0
279.08876647949216,0,0,-155.75,63.25,18,SSP5-RCP8.5,0
279.33421020507814,0,0,-155.75,63.25,24,SSP5-RCP8.5,0
276.63328247070314,0,0,-155.75,66.25,19,SSP5-RCP8.5,0
276.80760192871094,0,0,-155.75,66.25,23,SSP5-RCP8.5,0
276.4030334472656,0,0,-155.75,66.25,24,SSP5-RCP8.5,0
279.4770111083984,2,0,-155.25,63.25,22,SSP5-RCP8.5,0
277.3400451660156,0,0,-155.25,65.25,16,SSP5-RCP8.5,0
277.148779296875,0,0,-155.25,65.25,20,SSP5-RCP8.5,0
276.94501953125,0,0,-154.75,65.75,17,SSP5-RCP8.5,0
276.5190063476563,0,0,-154.75,65.75,24,SSP5-RCP8.5,0
276.1835479736328,0,0,-154.75,66.75,18,SSP5-RCP8.5,0
276.03965454101564,0,0,-154.75,66.75,22,SSP5-RCP8.5,0
280.8238189697266,2,0,-154.25,60.25,20,SSP5-RCP8.5,0
280.15931091308596,0,0,-153.75,58.75,21,SSP5-RCP8.5,0
277.2321014404297,0,0,-153.75,65.75,16,SSP5-RCP8.5,0
277.2309906005859,0,0,-153.75,65.75,17,SSP5-RCP8.5,0
276.9612976074219,0,0,-153.75,66.25,20,SSP5-RCP8.5,0
276.8021575927734,1,29,-153.75,66.25,23,SSP5-RCP8.5,0.731198998949478
276.31043395996096,0,0,-153.75,66.75,21,SSP5-RCP8.5,0
279.2888244628906,0,0,-148.75,61.75,18,SSP5-RCP8.5,0
276.24294128417966,0,0,-143.75,67.25,18,SSP5-RCP8.5,0
276.0562255859375,0,0,-142.75,65.75,22,SSP5-RCP8.5,0
276.31996459960936,0,0,-142.75,65.75,23,SSP5-RCP8.5,0
274.76499633789064,0,0,-142.75,67.25,17,SSP5-RCP8.5,0
275.0246124267578,0,0,-142.75,67.25,19,SSP5-RCP8.5,0
275.49583435058594,0,0,-142.25,66.75,22,SSP5-RCP8.5,0
276.0588897705078,0,0,-141.75,66.25,16,SSP5-RCP8.5,0
275.0485534667969,0,0,-141.75,66.75,16,SSP5-RCP8.5,0
274.7075134277344,0,0,-141.75,66.75,17,SSP5-RCP8.5,0
274.86952819824216,0,0,-141.75,66.75,20,SSP5-RCP8.5,0
274.3660369873047,0,0,-141.75,66.75,24,SSP5-RCP8.5,0
278.9174407958984,0,0,-135.25,59.75,21,SSP5-RCP8.5,0
278.6807922363281,1,73,-132.75,59.75,17,SSP5-RCP8.5,0.931661430060228
277.5514831542969,2,0,-132.25,61.25,21,SSP5-RCP8.5,0
277.3206085205078,2,0,-132.25,61.25,22,SSP5-RCP8.5,0
280.2946533203125,0,0,-131.75,57.75,16,SSP5-RCP8.5,0
280.272607421875,0,0,-131.75,57.75,20,SSP5-RCP8.5,0
280.25477905273436,0,0,-131.75,57.75,22,SSP5-RCP8.5,0
277.5709289550781,1,20,-130.75,60.75,18,SSP5-RCP8.5,0.6505149978319906
