s,age,PFT,relative_mean
Control,24,Non-tree V.,0.5514238829395808
Control,24,Temperate broadleaf,0.0050040114170937875
Control,24,Conifers (other),0.17195225559414068
Control,24,Pioneering broadleaf,0.08543902676092863
Control,24,Needleleaf evergreen,0.1861808232882569
Control,25,Non-tree V.,0.5368006933355011
Control,25,Temperate broadleaf,0.005333973152832082
Control,25,Conifers (other),0.1757814194994547
Control,25,Pioneering broadleaf,0.08851865865785281
Control,25,Needleleaf evergreen,0.19356525535436025
Control,26,Non-tree V.,0.5224160342623259
Control,26,Temperate broadleaf,0.005639258672863738
Control,26,Conifers (other),0.17954285016764698
Control,26,Pioneering broadleaf,0.0916672939036655
Control,26,Needleleaf evergreen,0.20073456299349837
Control,27,Non-tree V.,0.5090504014172836
Control,27,Temperate broadleaf,0.005941191214434512
Control,27,Conifers (other),0.18166560990057362
Control,27,Pioneering broadleaf,0.0948038396659352
Control,27,Needleleaf evergreen,0.20853895780177412
Control,28,Non-tree V.,0.495064613175253
Control,28,Temperate broadleaf,0.006288222174182202
Control,28,Conifers (other),0.18507618091193112
Control,28,Pioneering broadleaf,0.09801534294412262
Control,28,Needleleaf evergreen,0.2155556407945119
Control,29,Non-tree V.,0.48222047773048654
Control,29,Temperate broadleaf,0.006495459588659743
Control,29,Conifers (other),0.18805400242601752
Control,29,Pioneering broadleaf,0.1013412107507907
Control,29,Needleleaf evergreen,0.22188884950404483
Control,30,Non-tree V.,0.4696243211166837
Control,30,Temperate broadleaf,0.00678225634084204
Control,30,Conifers (other),0.19089804972584143
Control,30,Pioneering broadleaf,0.1047835528483739
Control,30,Needleleaf evergreen,0.22791181996825913
Control,31,Non-tree V.,0.45738969806301116
Control,31,Temperate broadleaf,0.007014160769966977
Control,31,Conifers (other),0.1937670838553671
Control,31,Pioneering broadleaf,0.10811950759053736
Control,31,Needleleaf evergreen,0.2337095497211168
Control,32,Non-tree V.,0.44603134056608856
Control,32,Temperate broadleaf,0.007297954796508678
Control,32,Conifers (other),0.19546537872826583
Control,32,Pioneering broadleaf,0.11143036430725423
Control,32,Needleleaf evergreen,0.23977496160188175
Control,33,Non-tree V.,0.43456078925442754
Control,33,Temperate broadleaf,0.007531562640241576
Control,33,Conifers (other),0.1979920387782024
Control,33,Pioneering broadleaf,0.1148193550210074
Control,33,Needleleaf evergreen,0.2450962543061204
Control,34,Non-tree V.,0.42295502881823493
Control,34,Temperate broadleaf,0.007637063188883611
Control,34,Conifers (other),0.20065301538683877
Control,34,Pioneering broadleaf,0.11844711247536494
Control,34,Needleleaf evergreen,0.2503077801306767
Control,35,Non-tree V.,0.41166783508486954
Control,35,Temperate broadleaf,0.007787383715027994
Control,35,Conifers (other),0.20305810931845775
Control,35,Pioneering broadleaf,0.1220580828152624
Control,35,Needleleaf evergreen,0.2554285890663816
Control,36,Non-tree V.,0.4009962681520464
Control,36,Temperate broadleaf,0.007735315985910742
Control,36,Conifers (other),0.20539730980374668
Control,36,Pioneering broadleaf,0.1257732653662513
Control,36,Needleleaf evergreen,0.26009784069204395
Control,37,Non-tree V.,0.39073244553333797
Control,37,Temperate broadleaf,0.0077428936467270615
Control,37,Conifers (other),0.20691205592384473
Control,37,Pioneering broadleaf,0.12947914476559674
Control,37,Needleleaf evergreen,0.2650473867960141
Control,38,Non-tree V.,0.380732483233657
Control,38,Temperate broadleaf,0.007756021769290621
Control,38,Conifers (other),0.20888330261446572
Control,38,Pioneering broadleaf,0.13310966738288493
Control,38,Needleleaf evergreen,0.26943245166522095
Control,39,Non-tree V.,0.370428068366722
Control,39,Temperate broadleaf,0.007749969883431977
Control,39,Conifers (other),0.21106159365081323
Control,39,Pioneering broadleaf,0.1367261136740353
Control,39,Needleleaf evergreen,0.2739481810905164
Control,40,Non-tree V.,0.36039929913836427
Control,40,Temperate broadleaf,0.00767011830757424
Control,40,Conifers (other),0.21310304546843076
Control,40,Pioneering broadleaf,0.1404660569206071
Control,40,Needleleaf evergreen,0.2783614801650229
Control,41,Non-tree V.,0.35055855270757375
Control,41,Temperate broadleaf,0.007703595259189197
Control,41,Conifers (other),0.21507744452011554
Control,41,Pioneering broadleaf,0.14408284456690693
Control,41,Needleleaf evergreen,0.28257756294621394
