tas_smoothed,class,length_transient,Lon,Lat,PID,s,length_transient_trans
279.23976440429686,0,0,-163.75,54.75,18,SSP5-RCP8.5,0
276.4713195800781,2,0,-162.75,62.25,17,SSP5-RCP8.5,0
276.56109313964845,2,0,-162.75,62.25,20,SSP5-RCP8.5,0
276.7216857910156,1,36,-162.75,62.25,21,SSP5-RCP8.5,0.7781512503836436
275.6449951171875,2,0,-162.25,62.75,20,SSP5-RCP8.5,0
276.7445495605469,1,39,-161.75,61.75,24,SSP5-RCP8.5,0.7955323035132496
276.2385711669922,1,41,-161.75,62.75,21,SSP5-RCP8.5,0.8063919283598677
280.5585510253906,0,0,-160.75,55.75,24,SSP5-RCP8.5,0
276.40943908691406,1,36,-160.75,62.25,16,SSP5-RCP8.5,0.7781512503836436
276.6920104980469,1,39,-160.75,62.25,19,SSP5-RCP8.5,0.7955323035132496
277.0016235351562,1,62,-160.75,62.25,21,SSP5-RCP8.5,0.896195844749127
276.2238006591797,1,59,-160.75,64.25,16,SSP5-RCP8.5,0.8854260058210721
276.44288940429686,1,20,-160.75,64.25,18,SSP5-RCP8.5,0.6505149978319906
276.8409790039062,0,0,-160.25,63.25,21,SSP5-RCP8.5,0
274.5864501953125,0,0,-160.25,64.25,22,SSP5-RCP8.5,0
274.90772399902346,0,0,-159.75,63.75,21,SSP5-RCP8.5,0
276.6055053710937,1,48,-159.25,62.75,22,SSP5-RCP8.5,0.8406206186877936
276.88230590820314,1,46,-159.25,63.25,20,SSP5-RCP8.5,0.831378915840787
276.06403198242185,2,0,-159.25,63.75,17,SSP5-RCP8.5,0
275.2670196533203,2,0,-159.25,64.25,19,SSP5-RCP8.5,0
274.5790496826172,2,0,-159.25,64.25,23,SSP5-RCP8.5,0
274.21918029785155,0,0,-159.25,64.25,24,SSP5-RCP8.5,0
279.9283874511719,2,0,-158.75,56.25,21,SSP5-RCP8.5,0
279.0102264404297,2,0,-158.75,56.25,22,SSP5-RCP8.5,0
276.66668701171875,2,0,-158.75,62.25,22,SSP5-RCP8.5,0
276.73350219726564,1,40,-158.75,62.75,16,SSP5-RCP8.5,0.8010299956639811
276.9264404296875,1,47,-158.75,63.75,23,SSP5-RCP8.5,0.8360489289678588
275.0321105957031,0,0,-158.75,64.75,18,SSP5-RCP8.5,0
274.0760009765625,0,0,-158.75,65.25,17,SSP5-RCP8.5,0
275.8360137939453,0,0,-158.25,61.75,22,SSP5-RCP8.5,0
275.95457763671874,0,0,-158.25,61.75,24,SSP5-RCP8.5,0
276.7163421630859,1,30,-158.25,62.25,21,SSP5-RCP8.5,0.7385606273598312
277.9087219238281,1,60,-158.25,62.25,23,SSP5-RCP8.5,0.8890756251918218
276.1244415283203,1,59,-158.25,63.75,17,SSP5-RCP8.5,0.8854260058210721
276.01243896484374,1,34,-158.25,63.75,22,SSP5-RCP8.5,0.7657394585211276
275.8126586914062,1,30,-158.25,64.25,20,SSP5-RCP8.5,0.7385606273598312
275.0248107910156,0,0,-158.25,64.75,16,SSP5-RCP8.5,0
275.6040405273437,1,25,-158.25,64.75,21,SSP5-RCP8.5,0.6989700043360189
274.69568786621096,2,0,-158.25,64.75,24,SSP5-RCP8.5,0
274.65846252441406,2,0,-158.25,65.25,17,SSP5-RCP8.5,0
273.6857666015625,0,0,-158.25,65.75,16,SSP5-RCP8.5,0
273.9401062011719,0,0,-158.25,65.75,22,SSP5-RCP8.5,0
274.9631713867187,2,0,-158.25,65.75,24,SSP5-RCP8.5,0
274.09783325195315,2,0,-158.25,66.25,16,SSP5-RCP8.5,0
273.8097381591797,0,0,-158.25,66.25,17,SSP5-RCP8.5,0
273.55943908691404,0,0,-158.25,66.25,21,SSP5-RCP8.5,0
273.6965270996094,0,0,-158.25,66.25,22,SSP5-RCP8.5,0
276.67730102539065,1,17,-157.75,61.75,22,SSP5-RCP8.5,0.6152244606891369
276.8565246582031,1,19,-157.75,62.25,20,SSP5-RCP8.5,0.6393768004764144
276.5339691162109,2,0,-157.75,62.75,16,SSP5-RCP8.5,0
276.65614624023436,1,62,-157.75,62.75,18,SSP5-RCP8.5,0.896195844749127
276.241845703125,1,58,-157.75,63.75,22,SSP5-RCP8.5,0.8817139967814687
274.9805633544922,2,0,-157.75,64.25,24,SSP5-RCP8.5,0
275.45714416503904,1,16,-157.75,64.75,22,SSP5-RCP8.5,0.6020599913279624
274.9482849121094,2,0,-157.75,65.75,23,SSP5-RCP8.5,0
274.0659484863281,0,0,-157.75,66.25,18,SSP5-RCP8.5,0
277.07203674316406,1,43,-157.25,60.75,16,SSP5-RCP8.5,0.8167342277897932
276.6806243896484,2,0,-157.25,62.25,23,SSP5-RCP8.5,0
277.46361083984374,2,0,-157.25,62.25,24,SSP5-RCP8.5,0
276.38287658691405,1,41,-157.25,65.25,23,SSP5-RCP8.5,0.8063919283598677
274.6596374511719,0,0,-157.25,65.75,18,SSP5-RCP8.5,0
278.1675109863281,1,60,-156.75,60.75,23,SSP5-RCP8.5,0.8890756251918218
277.3767547607422,1,56,-156.75,61.75,22,SSP5-RCP8.5,0.8740940135031002
277.28033752441405,0,0,-156.75,62.25,21,SSP5-RCP8.5,0
276.4732177734375,0,0,-156.75,62.25,23,SSP5-RCP8.5,0
277.2989013671875,1,43,-156.25,60.75,20,SSP5-RCP8.5,0.8167342277897932
278.0530944824219,1,68,-156.25,61.25,22,SSP5-RCP8.5,0.9162544563531182
275.5091033935547,2,0,-156.25,63.25,23,SSP5-RCP8.5,0
275.8734100341797,1,50,-156.25,63.25,24,SSP5-RCP8.5,0.8494850021680094
277.21185913085935,1,67,-156.25,63.75,21,SSP5-RCP8.5,0.9130374013504132
275.5481903076172,1,61,-156.25,64.75,22,SSP5-RCP8.5,0.8926649175053836
275.5481903076172,1,51,-156.25,64.75,23,SSP5-RCP8.5,0.8537850880489681
276.2893768310547,1,52,-156.25,65.25,22,SSP5-RCP8.5,0.8580016718173996
273.11839599609374,2,0,-156.25,66.75,17,SSP5-RCP8.5,0
272.8361450195313,2,0,-156.25,66.75,19,SSP5-RCP8.5,0
278.67430419921874,2,0,-155.75,58.25,22,SSP5-RCP8.5,0
278.2788024902344,0,0,-155.75,62.75,18,SSP5-RCP8.5,0
278.00306091308596,0,0,-155.75,62.75,23,SSP5-RCP8.5,0
276.1238220214844,0,0,-155.75,63.25,22,SSP5-RCP8.5,0
276.8345916748047,1,74,-155.75,63.75,16,SSP5-RCP8.5,0.9346158598654881
275.81255493164065,1,36,-155.75,64.25,24,SSP5-RCP8.5,0.7781512503836436
274.92828979492185,0,0,-155.75,64.75,22,SSP5-RCP8.5,0
275.1386474609375,0,0,-155.75,64.75,24,SSP5-RCP8.5,0
278.9945343017578,2,0,-155.25,58.75,19,SSP5-RCP8.5,0
278.55565490722654,2,0,-155.25,58.75,24,SSP5-RCP8.5,0
278.14978942871096,1,38,-155.25,60.25,20,SSP5-RCP8.5,0.7898917983084051
277.7003631591797,1,55,-155.25,60.75,18,SSP5-RCP8.5,0.8701813447471219
277.08009643554686,1,33,-155.25,61.25,20,SSP5-RCP8.5,0.7592569699389438
277.1505981445313,1,47,-155.25,61.25,21,SSP5-RCP8.5,0.8360489289678588
277.1440399169922,1,53,-155.25,61.25,22,SSP5-RCP8.5,0.8621379348003945
277.67278442382815,0,0,-155.25,63.25,17,SSP5-RCP8.5,0
276.9989990234375,0,0,-155.25,63.25,23,SSP5-RCP8.5,0
274.7883819580078,0,0,-155.25,65.25,17,SSP5-RCP8.5,0
274.4789184570312,0,0,-155.25,65.25,24,SSP5-RCP8.5,0
275.39044189453125,1,47,-155.25,65.75,16,SSP5-RCP8.5,0.8360489289678588
274.5450439453125,2,0,-155.25,66.25,17,SSP5-RCP8.5,0
