s,age,PFT,relative_mean
Control,0,Non-tree V.,0
Control,0,Temperate broadleaf,0
Control,0,Conifers (other),0
Control,0,Pioneering broadleaf,0
Control,0,Needleleaf evergreen,0
Control,1,Non-tree V.,0
Control,1,Temperate broadleaf,0
Control,1,Conifers (other),0
Control,1,Pioneering broadleaf,0
Control,1,Needleleaf evergreen,0
Control,2,Non-tree V.,0.8871042255975183
Control,2,Temperate broadleaf,2.1292604941219475e-5
Control,2,Conifers (other),0.05540614180280846
Control,2,Pioneering broadleaf,0.03106986085841932
Control,2,Needleleaf evergreen,0.0033626553647440067
Control,3,Non-tree V.,0.8872871382048958
Control,3,Temperate broadleaf,1.4349836984331544e-4
Control,3,Conifers (other),0.05353297851287263
Control,3,Pioneering broadleaf,0.02879783801208084
Control,3,Needleleaf evergreen,0.007202723128738723
Control,4,Non-tree V.,0.8813571467857775
Control,4,Temperate broadleaf,2.9293472800736203e-4
Control,4,Conifers (other),0.05551855408071149
Control,4,Pioneering broadleaf,0.03004984045092921
Control,4,Needleleaf evergreen,0.009745700183005756
Control,5,Non-tree V.,0.8769831094698088
Control,5,Temperate broadleaf,3.3215034142758366e-4
Control,5,Conifers (other),0.05630084027891507
Control,5,Pioneering broadleaf,0.032323182390073986
Control,5,Needleleaf evergreen,0.01102489374820587
Control,6,Non-tree V.,0.8692284154340026
Control,6,Temperate broadleaf,3.6311112847350305e-4
Control,6,Conifers (other),0.059942797328397183
Control,6,Pioneering broadleaf,0.03510394499298121
Control,6,Needleleaf evergreen,0.012325907344576595
Control,7,Non-tree V.,0.8425460874324847
Control,7,Temperate broadleaf,6.29182522144303e-4
Control,7,Conifers (other),0.06321832258895621
Control,7,Pioneering broadleaf,0.03732543857928382
Control,7,Needleleaf evergreen,0.03324514510556225
Control,8,Non-tree V.,0.8287981667001022
Control,8,Temperate broadleaf,7.160441929772107e-4
Control,8,Conifers (other),0.06968593312455247
Control,8,Pioneering broadleaf,0.0403762673084121
Control,8,Needleleaf evergreen,0.037387764902387155
Control,9,Non-tree V.,0.8136834263602545
Control,9,Temperate broadleaf,8.255979815457585e-4
Control,9,Conifers (other),0.07670527866747505
Control,9,Pioneering broadleaf,0.04324266640737275
Control,9,Needleleaf evergreen,0.042507206811783195
Control,10,Non-tree V.,0.7978100064722049
Control,10,Temperate broadleaf,9.58484962336371e-4
Control,10,Conifers (other),0.0841713878296194
Control,10,Pioneering broadleaf,0.0458966506824393
Control,10,Needleleaf evergreen,0.04812764628183128
Control,11,Non-tree V.,0.780894268869504
Control,11,Temperate broadleaf,0.0011271372006124514
Control,11,Conifers (other),0.09195499571316469
Control,11,Pioneering broadleaf,0.04873907531128248
Control,11,Needleleaf evergreen,0.05424869913386785
Control,12,Non-tree V.,0.7556788837443659
Control,12,Temperate broadleaf,0.0013659668252591283
Control,12,Conifers (other),0.09810938994292145
Control,12,Pioneering broadleaf,0.05098117161750894
Control,12,Needleleaf evergreen,0.07082876409837605
Control,13,Non-tree V.,0.7358305345457832
Control,13,Temperate broadleaf,0.0015706864096831387
Control,13,Conifers (other),0.10614361568793797
Control,13,Pioneering broadleaf,0.05424159297163516
Control,13,Needleleaf evergreen,0.07917774661339194
Control,14,Non-tree V.,0.7152787571297116
Control,14,Temperate broadleaf,0.0018099344750503324
Control,14,Conifers (other),0.1142519104082236
Control,14,Pioneering broadleaf,0.057587780506542646
Control,14,Needleleaf evergreen,0.08803579370890313
Control,15,Non-tree V.,0.6942400788660512
Control,15,Temperate broadleaf,0.0020921900177497004
Control,15,Conifers (other),0.12234279582945871
Control,15,Pioneering broadleaf,0.061154399073213635
Control,15,Needleleaf evergreen,0.097134712441958
Control,16,Non-tree V.,0.6733283958025559
Control,16,Temperate broadleaf,0.0023703786034224845
Control,16,Conifers (other),0.13030568270041465
Control,16,Pioneering broadleaf,0.06468700438582647
Control,16,Needleleaf evergreen,0.10627271473621197
Control,17,Non-tree V.,0.6492430472013733
Control,17,Temperate broadleaf,0.00268779596288873
Control,17,Conifers (other),0.1359416529127366
Control,17,Pioneering broadleaf,0.06775871511095088
Control,17,Needleleaf evergreen,0.12133296504048215
Control,18,Non-tree V.,0.6294969439000538
Control,18,Temperate broadleaf,0.0030133549856479493
Control,18,Conifers (other),0.14261268785212744
Control,18,Pioneering broadleaf,0.07113650668658057
Control,18,Needleleaf evergreen,0.13070468280402153
Control,19,Non-tree V.,0.610476325752221
Control,19,Temperate broadleaf,0.0033324428218174528
Control,19,Conifers (other),0.14886690902915267
Control,19,Pioneering broadleaf,0.07443954583825017
Control,19,Needleleaf evergreen,0.13984895278699003
Control,20,Non-tree V.,0.5926125497913808
