age,PFT_long,relative_mean,s
74,BNE,0.35177552965286096,Control
74,IBS,0.3036715678667106,Control
74,TeBS,0.01656464118865902,Control
74,Tundra,0.09081746166735817,Control
74,otherC,0.2203464042511198,Control
75,BNE,0.35339797049068844,Control
75,IBS,0.3057826199976573,Control
75,TeBS,0.016852370997094017,Control
75,Tundra,0.08664255899624425,Control
75,otherC,0.22050008414502456,Control
76,BNE,0.3551882938568494,Control
76,IBS,0.3077670381610545,Control
76,TeBS,0.017114673555993196,Control
76,Tundra,0.0830923959967967,Control
76,otherC,0.22001320305601488,Control
77,BNE,0.35677165137329075,Control
77,IBS,0.3091089219296212,Control
77,TeBS,0.01737442601067826,Control
77,Tundra,0.08010381060869505,Control
77,otherC,0.21981679470442345,Control
78,BNE,0.35835492806981,Control
78,IBS,0.31039953110101043,Control
78,TeBS,0.017707410876648875,Control
78,Tundra,0.07673519643740076,Control
78,otherC,0.21997853814183876,Control
79,BNE,0.35972645276104,Control
79,IBS,0.31166131494191335,Control
79,TeBS,0.01796851499513909,Control
79,Tundra,0.07358718134856898,Control
79,otherC,0.22023214058004745,Control
80,BNE,0.3614686224419436,Control
80,IBS,0.31279539791161615,Control
80,TeBS,0.01836005759800729,Control
80,Tundra,0.07048220262342085,Control
80,otherC,0.22006932405172083,Control
81,BNE,0.36306209879975887,Control
81,IBS,0.3145782398842289,Control
81,TeBS,0.01863659951836326,Control
81,Tundra,0.06777399870422968,Control
81,otherC,0.21912466772012812,Control
82,BNE,0.3637464415296177,Control
82,IBS,0.3160188987639236,Control
82,TeBS,0.018917443318945064,Control
82,Tundra,0.06670962294351568,Control
82,otherC,0.21778319807070673,Control
83,BNE,0.3653740594081607,Control
83,IBS,0.3178831807626273,Control
83,TeBS,0.019198088795132656,Control
83,Tundra,0.06440173241317275,Control
83,otherC,0.21631854324761526,Control
84,BNE,0.36656667161022066,Control
84,IBS,0.31902218971781343,Control
84,TeBS,0.019510476497097688,Control
84,Tundra,0.06250129590809804,Control
84,otherC,0.21557497089347905,Control
85,BNE,0.3677611671443633,Control
85,IBS,0.3204308309584628,Control
85,TeBS,0.01978604318592009,Control
85,Tundra,0.0608754511636347,Control
85,otherC,0.21432211217432806,Control
86,BNE,0.3693245394602847,Control
86,IBS,0.32192465336929565,Control
86,TeBS,0.019410374921666564,Control
86,Tundra,0.05874810313965721,Control
86,otherC,0.21376793373580458,Control
87,BNE,0.3699742420959047,Control
87,IBS,0.32280201160934463,Control
87,TeBS,0.01968984791822258,Control
87,Tundra,0.05800696650895899,Control
87,otherC,0.21270253649427795,Control
88,BNE,0.3712708504690317,Control
