tas_smoothed,class,length_transient,Lon,Lat,PID,s,length_transient_trans
282.68040466308594,1,88,51.75,63.75,18,SSP5-RCP8.5,0.9722413360750845
279.0301574707031,1,64,51.75,63.75,19,SSP1-RCP2.6,0.9030899869919436
279.95155639648436,1,56,51.75,63.75,20,SSP1-RCP2.6,0.8740940135031002
282.6042999267578,2,15,51.75,63.75,24,SSP5-RCP8.5,0.5880456295278407
276.9502868652344,0,0,54.75,65.25,18,SSP1-RCP2.6,0
279.8085540771484,1,59,62.75,59.25,18,Control,0.8854260058210721
279.7022277832031,1,15,62.75,59.25,19,Control,0.5880456295278407
284.7821105957031,2,19,62.75,59.25,24,SSP5-RCP8.5,0.6393768004764144
274.91436767578125,0,0,67.75,64.25,22,Control,0
277.50408325195315,0,0,68.75,63.25,19,SSP1-RCP2.6,0
281.78680114746095,0,0,68.75,63.25,21,SSP5-RCP8.5,0
281.684228515625,0,0,68.75,63.25,23,SSP5-RCP8.5,0
280.6053741455078,1,65,69.25,58.75,23,SSP1-RCP2.6,0.9064566783214276
279.0959503173828,1,78,69.25,58.75,24,Control,0.9460473013452402
277.50146484375,0,0,69.75,64.25,17,SSP1-RCP2.6,0
274.6846649169922,2,0,69.75,64.25,21,Control,0
274.59202575683594,2,0,69.75,64.25,23,Control,0
278.1166564941406,0,0,70.25,64.25,20,SSP1-RCP2.6,0
277.45806579589845,0,0,70.25,64.25,23,SSP1-RCP2.6,0
280.1293243408203,0,0,70.25,64.25,24,SSP5-RCP8.5,0
277.4441375732422,2,0,72.25,61.75,17,SSP1-RCP2.6,0
278.5045654296875,2,0,72.25,61.75,18,SSP1-RCP2.6,0
276.42108154296875,0,0,72.25,61.75,23,Control,0
277.0739440917969,0,0,76.75,64.75,24,SSP1-RCP2.6,0
273.64881286621096,2,0,76.75,64.75,24,Control,0
277.3003295898437,0,0,77.75,64.75,18,SSP1-RCP2.6,0
278.7172912597656,0,0,77.75,64.75,24,SSP5-RCP8.5,0
279.9613922119141,0,0,80.75,64.75,16,SSP5-RCP8.5,0
278.0110290527344,0,0,85.25,59.25,19,Control,0
277.96425476074216,0,0,85.25,59.25,24,Control,0
279.4397430419922,1,29,100.75,54.25,21,Control,0.731198998949478
278.9060455322266,1,80,101.75,55.75,20,SSP1-RCP2.6,0.9515449934959718
277.8014831542969,2,0,101.75,55.75,21,Control,0
282.2658264160156,1,91,101.75,55.75,22,SSP5-RCP8.5,0.9795206961605468
282.8417663574219,1,91,101.75,55.75,23,SSP5-RCP8.5,0.9795206961605468
281.0224914550781,1,12,104.25,50.75,16,SSP5-RCP8.5,0.5395906230238124
277.17079467773436,0,0,104.25,50.75,17,SSP1-RCP2.6,0
281.38982543945315,1,74,104.25,50.75,20,SSP5-RCP8.5,0.934615859865488
281.0224914550781,1,56,104.25,50.75,24,SSP5-RCP8.5,0.8740940135031002
274.71624450683595,0,0,158.25,57.75,17,Control,0
276.0433288574219,0,0,158.25,57.75,21,SSP1-RCP2.6,0
281.11082763671874,0,0,158.25,57.75,22,SSP5-RCP8.5,0
277.28468017578126,0,0,158.25,57.75,22,SSP1-RCP2.6,0
