tas_smoothed,class,length_transient,Lon,Lat,PID,s,length_transient_trans
276.4782745361328,0,0,-159.25,63.25,19,SSP1-RCP2.6,0
276.88230590820314,1,46,-159.25,63.25,20,SSP5-RCP8.5,0.831378915840787
277.0998229980469,0,0,-159.25,63.25,20,SSP1-RCP2.6,0
277.5563018798828,1,78,-156.25,61.75,16,SSP5-RCP8.5,0.9460473013452402
277.7798187255859,0,0,-156.25,61.75,18,SSP1-RCP2.6,0
275.1867401123047,0,0,-156.25,61.75,18,Control,0
275.66802368164065,0,0,-156.25,61.75,22,Control,0
277.75478210449216,1,83,-148.75,65.25,17,SSP5-RCP8.5,0.959539046188037
277.8236602783203,1,84,-148.75,65.25,19,SSP5-RCP8.5,0.9621396430309408
275.2309631347656,1,67,-148.75,65.25,22,Control,0.9130374013504132
277.6700958251953,1,85,-148.75,65.25,24,SSP5-RCP8.5,0.9647094628571464
273.1950622558594,2,0,-145.25,67.25,17,SSP1-RCP2.6,0
273.3647979736328,2,0,-145.25,67.25,23,SSP1-RCP2.6,0
276.83384399414064,0,0,-126.25,57.75,18,SSP1-RCP2.6,0
274.6523376464844,0,0,-126.25,57.75,18,Control,0
273.5942810058594,0,0,-125.25,62.75,17,SSP5-RCP8.5,0
270.4451080322266,2,0,-125.25,62.75,17,Control,0
270.27159423828124,2,0,-125.25,62.75,23,Control,0
277.85497131347654,1,86,-120.75,61.25,18,SSP1-RCP2.6,0.9672492256217838
277.83729858398436,1,84,-120.75,61.25,20,SSP1-RCP2.6,0.9621396430309408
277.8687683105469,1,84,-120.75,61.25,21,SSP1-RCP2.6,0.9621396430309408
277.5568786621094,1,83,-120.25,60.25,17,SSP5-RCP8.5,0.959539046188037
277.2053283691406,1,84,-120.25,60.25,22,SSP1-RCP2.6,0.9621396430309408
276.3284057617187,1,67,-115.75,60.25,16,Control,0.9130374013504132
278.54119873046875,1,84,-115.75,60.25,18,SSP1-RCP2.6,0.9621396430309408
279.4050628662109,1,86,-115.75,60.25,19,SSP5-RCP8.5,0.9672492256217838
276.92388305664065,1,61,-115.75,60.25,19,Control,0.8926649175053836
276.3933471679687,2,0,-111.75,61.75,16,SSP1-RCP2.6,0
276.4315490722656,2,10,-111.75,61.75,17,SSP5-RCP8.5,0.5
275.0231658935547,0,0,-111.75,61.75,23,Control,0
275.7351348876953,1,34,-110.75,60.25,21,Control,0.7657394585211276
275.587451171875,1,47,-110.75,60.25,23,Control,0.8360489289678588
281.06666870117186,1,89,-108.75,53.75,16,SSP1-RCP2.6,0.9746950033224564
278.70896301269534,1,77,-107.75,59.25,23,SSP1-RCP2.6,0.9432453625862408
277.9095062255859,1,20,-107.25,59.25,16,SSP1-RCP2.6,0.6505149978319906
278.48070373535154,1,78,-107.25,59.25,20,SSP5-RCP8.5,0.9460473013452402
275.9704315185547,0,0,-107.25,59.25,20,Control,0
278.4242767333984,1,59,-105.75,58.75,17,SSP5-RCP8.5,0.8854260058210721
276.5178527832031,0,0,-105.75,58.75,20,Control,0
277.9553741455078,1,70,-105.75,58.75,24,SSP5-RCP8.5,0.9225490200071284
280.6167297363281,1,89,-104.75,54.25,19,SSP5-RCP8.5,0.9746950033224564
278.9767730712891,1,24,-104.25,57.25,17,SSP5-RCP8.5,0.690105620855803
276.2436767578125,0,0,-104.25,57.25,18,Control,0
278.9767730712891,1,59,-104.25,57.25,21,SSP5-RCP8.5,0.8854260058210721
275.4150390625,0,0,-100.75,57.25,17,Control,0
277.73533630371094,0,0,-100.75,57.25,21,SSP1-RCP2.6,0
275.45262756347654,0,0,-100.75,57.25,24,Control,0
278.602978515625,1,82,-94.25,55.25,19,SSP1-RCP2.6,0.9569069261918584
