"Lon" "Lat" "Year" "BNE" "BINE" "BNS" "IBS" "TeBS" "TeNE" "C3G" "HSE" "HSS" "LSE" "LSS" "GRT" "EPDS" "SPDS" "CLM" "Total"
-128.25 58.25 2005 2.523 0.225 0 0 0 0 0.165 0 0.008 0.006 0.006 0 0 0 0 2.933
-123.25 57.25 2005 5.887 1.129 0 0.001 0 0 0.023 0 0.025 0 0.001 0 0 0 0 7.068
-118.25 59.75 2005 3.446 2.25 0 0.162 0 0 0.06 0 0.071 0.005 0.012 0 0 0 0 6.005
-113.25 57.75 2005 3.888 2.793 0 0.59 0 0 0.044 0 0.086 0.003 0.01 0 0 0 0 7.415
-108.75 55.75 2005 4.987 0.87 0 2.121 0 0 0.017 0 0.037 0.001 0.003 0 0 0 0 8.035
-104.25 58.25 2005 1.639 0.102 0 0.002 0 0 0.072 0 0.015 0.006 0.014 0 0 0 0 1.849
-98.75 57.25 2005 1.856 0.339 0 0.038 0 0 0.112 0 0.024 0.002 0.007 0 0 0 0 2.378
-94.25 56.75 2005 1.309 0.103 0 0.004 0 0 0.13 0 0.03 0.004 0.013 0 0 0 0 1.594
-90.25 49.25 2005 4.322 1.455 0 0.166 0 0 0.041 0 0.034 0.005 0.012 0 0 0 0 6.035
-86.75 50.25 2005 4.414 0.935 0 0.039 0 0 0.029 0 0.021 0.002 0.005 0 0 0 0 5.445
-83.25 54.75 2005 2.124 0.167 0 0.022 0 0 0.136 0 0.074 0.002 0.005 0 0 0 0 2.53
-77.25 48.75 2005 2.434 0.424 0 0.24 0 0 0.087 0 0.164 0.002 0.007 0 0 0 0 3.358
-73.25 51.25 2005 1.551 0.1 0 0.001 0 0 0.099 0 0.01 0.002 0.005 0 0 0 0 1.769
-66.75 48.75 2005 3.947 0.327 0 0.001 0 0 0.066 0.009 0.007 0 0.001 0 0 0 0 4.357
-59.75 54.75 2005 0.023 0.008 0 0 0 0 0.105 0 0.032 0.006 0.016 0 0 0 0 0.191
13.25 62.25 2005 2.15 0.086 0 0 0 0 0.065 0.038 0.012 0.002 0.005 0 0 0 0 2.359
19.75 64.25 2005 3.568 0.302 0 0.001 0 0 0.053 0.016 0.015 0.002 0.005 0 0 0 0 3.963
25.25 64.75 2005 4.776 0.741 0 0.012 0.001 0 0.062 0.028 0.043 0.003 0.01 0 0 0 0 5.677
28.75 62.25 2005 5.053 0.635 0 0.03 0 0 0.043 0.018 0.056 0.001 0.003 0 0 0 0 5.839
32.25 61.75 2005 5.69 0.909 0 0.061 0 0 0.019 0.009 0.037 0 0.001 0 0 0 0 6.727
35.25 63.25 2005 3.652 0.103 0 0 0 0 0.039 0.008 0.004 0.001 0.001 0 0 0 0 3.807
39.25 57.25 2005 2.845 0.122 0 2.105 2.543 0 0.026 0.004 0.034 0 0.001 0 0 0 0 7.68
42.25 65.75 2005 2.181 0.118 0 0.001 0 0 0.059 0 0.017 0.003 0.005 0 0 0 0 2.383
